;Scopy version,438f138
;Exported on,Thursday September 25/09/2025
;Device,M2K
;Nr of samples,1600
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
513,-0.0287,2.40534,-0.0597199
514,-0.0286,2.40534,-0.0597199
515,-0.0285,2.40534,-0.0597199
516,-0.0284,2.40534,-0.0597199
517,-0.0283,2.40534,-0.0597199
518,-0.0282,2.40534,-0.0597199
519,-0.0281,2.40534,-0.0597199
520,-0.028,2.40534,-0.0597199
521,-0.0279,2.40534,-0.0597199
522,-0.0278,2.40534,-0.0597199
523,-0.0277,2.40534,-0.0597199
524,-0.0276,2.40534,-0.0597199
525,-0.0275,2.40534,-0.0597199
526,-0.0274,2.40534,-0.0597199
527,-0.0273,2.40534,-0.0597199
528,-0.0272,2.40534,-0.0597199
529,-0.0271,2.40534,-0.0597199
530,-0.027,2.40534,-0.0597199
531,-0.0269,2.40534,-0.0597199
532,-0.0268,2.40534,-0.0597199
533,-0.0267,2.40534,-0.0597199
534,-0.0266,2.40534,-0.0597199
535,-0.0265,2.40534,-0.0597199
536,-0.0264,2.40534,-0.0597199
537,-0.0263,2.40534,-0.0597199
538,-0.0262,2.40534,-0.0597199
539,-0.0261,2.40534,-0.0597199
540,-0.026,2.40534,-0.0597199
541,-0.0259,2.40534,-0.0597199
542,-0.0258,2.40534,-0.0597199
543,-0.0257,2.40534,-0.0597199
544,-0.0256,2.40534,-0.0597199
545,-0.0255,2.40534,-0.0597199
546,-0.0254,2.40534,-0.0597199
547,-0.0253,2.40534,-0.0597199
548,-0.0252,2.40534,-0.0597199
549,-0.0251,2.40534,-0.0597199
550,-0.025,2.40534,-0.0597199
551,-0.0249,2.35305,-0.0771499
552,-0.0248,1.18524,-1.2101
553,-0.0247,-2.87595,-3.58057
554,-0.0246,-2.54478,-1.94216
555,-0.0245,-2.56221,-1.2101
556,-0.0244,-2.54478,-0.739489
557,-0.0243,-2.57964,-0.460609
558,-0.0242,-2.56221,-0.321169
559,-0.0241,-2.56221,-0.19916
560,-0.024,-2.56221,-0.14687
561,-0.0239,-2.56221,-0.11201
562,-0.0238,-2.56221,-0.0945798
563,-0.0237,-2.56221,-0.0597199
564,-0.0236,-2.56221,-0.0597199
565,-0.0235,-2.56221,-0.0597199
566,-0.0234,-2.56221,-0.0597199
567,-0.0233,-2.56221,-0.0597199
568,-0.0232,-2.56221,-0.0597199
569,-0.0231,-2.56221,-0.0597199
570,-0.023,-2.56221,-0.0597199
571,-0.0229,-2.56221,-0.0597199
572,-0.0228,-2.56221,-0.0597199
573,-0.0227,-2.56221,-0.0597199
574,-0.0226,-2.56221,-0.0597199
575,-0.0225,-2.56221,-0.0597199
576,-0.0224,-2.56221,-0.0597199
577,-0.0223,-2.56221,-0.0597199
578,-0.0222,-2.56221,-0.0597199
579,-0.0221,-2.56221,-0.0597199
580,-0.022,-2.56221,-0.0597199
581,-0.0219,-2.56221,-0.0597199
582,-0.0218,-2.56221,-0.0597199
583,-0.0217,-2.56221,-0.0597199
584,-0.0216,-2.56221,-0.0597199
585,-0.0215,-2.56221,-0.0597199
586,-0.0214,-2.56221,-0.0597199
587,-0.0213,-2.56221,-0.0597199
588,-0.0212,-2.56221,-0.0597199
589,-0.0211,-2.56221,-0.0597199
590,-0.021,-2.59707,-0.0597199
591,-0.0209,-2.57964,-0.0597199
592,-0.0208,-2.57964,-0.0597199
